Name,Company,Price,Star_Rating,Number_of_Ratings,Number_of_Reviews,Processor,RAM,Operating_System,Storage,Warranty
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...",ASUS,34990.0,4.3,2667.0,160.0,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512.0,1.0
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,ASUS,30990.0,4.3,1399.0,94.0,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Home,512.0,1.0
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,Acer,19990.0,3.8,6653.0,591.0,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Home,512.0,1.0
MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/1 TB SSD/Wind...,MOTOROLA,57990.0,4.4,570.0,69.0,Intel Core 7 (Series 2) Processor,16 GB DDR5 RAM,64 bit Windows 11,1.0,1.0
ZEBRONICS Pro Series Z Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home) ZEB-NBC 5S Thin...,ZEBRONICS,57599.0,4.0,242.0,26.0,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,1.0,1.0
HP 15 Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1253TU/ 15-fd1225TU Thin and Light La...,HP,36990.0,4.2,962.0,56.0,Intel Core 3 Processor,8 GB DDR4 RAM,Windows 11 Home,512.0,1.0
Lenovo IdeaPad 5 2-in-1 WUXGA IPS AMD Ryzen 5 Hexa Core 8645HS - (16 GB/512 GB SSD/Windows 11 Home) 14...,Lenovo,72490.0,4.1,7.0,0.0,AMD Ryzen 5 Hexa Core Processor,16 GB LPDDR5X RAM,Windows 11,512.0,1.0
Lenovo LOQ 2025 Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,Lenovo,134990.0,4.3,24.0,2.0,Intel Core i7 Processor (14th Gen),16 GB DDR5 RAM,Windows 11 Home,1.0,1.0
Apple MacBook Air M3 - (16 GB/1 TB SSD/macOS Sonoma) MXCR3HN/A,Apple,163399.0,4.2,281.5,24.0,Apple M3 Processor,16 GB Unified Memory RAM,Mac OS,1.0,1.0
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,Acer,15990.0,3.8,6653.0,591.0,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Home,128.0,1.0
DELL Inspiron 15 MSO'24 with Backlit KB Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Ho...,DELL,66990.0,4.2,52.0,1.0,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,512.0,1.0
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,MOTOROLA,54990.0,4.4,1773.0,194.0,Intel Core 5 (Series 2) Processor,16 GB DDR5 RAM,64 bit Windows 11,512.0,1.0
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) A325-45 Thin and Light...,Acer,21490.0,3.9,1791.0,164.0,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Windows 11,256.0,1.0
Lenovo Chromebook MediaTek Kompanio 520 - (4 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook,Lenovo,12990.0,3.9,3125.0,268.0,MediaTek Kompanio 520 Processor,4 GB LPDDR4X RAM,Chrome,512.0,1.0
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,Lenovo,12789.0,4.0,1686.0,128.0,MediaTek Kompanio 520 Processor,4 GB LPDDR4X RAM,Chrome,512.0,1.0
"Acer Aspire 14 with Backlit Keyboard, Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Hom...",Acer,46990.0,4.3,5945.0,512.0,Intel Core i5 Processor (13th Gen),16 GB LPDDR5 RAM,64 bit Windows 11 Home,512.0,1.0
"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",ASUS,49990.0,4.3,1033.0,78.0,Intel Core 5 Processor,16 GB DDR4 RAM,Windows 11 Home,512.0,1.0
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ALC7 ...,Lenovo,33990.0,4.2,6859.0,562.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11,512.0,1.0
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,Acer,28990.0,4.2,5314.0,392.0,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11,256.0,1.0
ASUS Chromebook CX1 Intel Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ04...,ASUS,14999.0,4.2,14.0,0.0,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome,512.0,1.0
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 83ER00KSIN Th...,Lenovo,45490.0,4.2,475.0,27.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Home,512.0,1.0
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 ...",ASUS,62990.0,4.3,500.0,32.0,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home,512.0,1.0
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,Acer,28990.0,4.2,5314.0,392.0,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11,512.0,1.0
Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15-42 Thin an...,Acer,34990.0,4.1,2920.0,306.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,Windows 11,512.0,1.0
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,Acer,17990.0,3.8,6653.0,591.0,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Home,256.0,1.0
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,Acer,29990.0,4.0,101.0,14.0,AMD Ryzen 3 Quad Core Processor,16 GB DDR4 RAM,Windows 11,512.0,1.0
Lenovo 100e Chromebook Gen 4 MediaTek MediaTek Kompanio 528 - (4 GB/64 GB EMMC Storage/Chrome OS) 82W0...,Lenovo,10999.0,3.8,952.0,80.0,MediaTek MediaTek Kompanio 528 Processor,4 GB LPDDR4X RAM,Chrome,512.0,1.0
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15 - 4...,Acer,38990.0,4.1,1468.0,109.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,Windows 11,512.0,1.0
Acer Chromebook Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C5QE/ CB...,Acer,23990.0,3.8,2517.0,176.0,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome,512.0,1.0
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S71074WS...,ASUS,38990.0,4.3,3509.0,301.0,Intel Core i3 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Home,512.0,1.0
Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) A325-42 Thin and Light L...,Acer,28499.0,4.1,728.0,91.0,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,Windows 11,512.0,1.0
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,Acer,32990.0,4.3,3060.0,231.0,Intel Core i3 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,512.0,1.0
Primebook 2 Max (2025) in-Built AI MediaTek Helio G99 (MT8781) - (8 GB/256 GB/Android 15) PBG9915256#4...,Primebook,22990.0,4.4,112.0,35.0,MediaTek Helio G99 (MT8781) Processor,8 GB LPDDR4X RAM,64 bit Android,512.0,1.0
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Light...,Acer,24438.0,3.9,251.0,28.0,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Windows 11,512.0,1.0
Acer Nitro V AMD Ryzen 5 Hexa Core 6600H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFo...,Acer,59990.0,4.4,683.0,55.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR5 RAM,64 bit Windows 11,512.0,1.0
ASUS Expertbook P1 High-performance processor Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Window...,ASUS,51990.0,4.3,3403.0,270.0,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Home,512.0,1.0
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...",ASUS,37990.0,4.3,2667.0,160.0,Intel Core i3 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home,512.0,1.0
